TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
SFRO11;0,00;0,00;;;23,62;;;12.499.077,04;14,00;Passiva;
MALL11;96,59;6,13;0,88;1.365.921,10;1,99;-0,50;-2,77;829.494.517,66;91.113,00;Ativa;
SFND11;83,07;5,12;7,11;;36,45;116,69;;11.466.451,36;54,00;Passiva;
XTED11;6,27;0,00;0,44;3.553,13;0,40;;-29,38;27.341.371,70;4.588,00;Ativa;
CXTL11;309,97;5,56;0,45;8.484,33;0,59;13,50;-16,68;37.044.254,22;676,00;Passiva;
MGLG11;49,99;6,39;0,52;172.063,28;0,34;;;111.873.871,51;1.188,00;Ativa;
WPLZ11;71,74;1,70;0,70;16.122,05;1,46;4,36;-0,13;104.862.073,94;1.884,00;Passiva;
FIGS11;54,96;5,04;0,55;188.035,98;4,38;-24,26;-2,50;284.138.014,47;16.637,00;Passiva;
RBFF11;55,40;9,30;0,82;286.693,65;1,10;-11,20;;253.219.830,88;22.134,00;Ativa;
BTRA11;100,30;4,00;0,97;639.110,63;25,00;;;347.627.495,51;8.624,00;Ativa;
VIUR11;76,01;6,21;0,79;324.468,13;12,78;;;260.808.926,19;3.783,00;Ativa;
MFAI11;74,98;10,94;0,91;32.109,23;0,16;;;24.864.912,55;3.728,00;Ativa;
KFOF11;76,02;8,52;0,79;543.588,40;1,94;2,40;;434.162.955,34;7.817,00;Ativa;
APTO11;10,10;0,31;1,03;56.313,07;28,52;;;39.476.292,41;64,00;Ativa;
PATB11;0,00;0,00;;;4,66;;;557.934.973,13;58,00;Ativa;
RBHG11;88,94;10,69;0,93;370.272,58;6,80;;;165.363.721,21;5.262,00;Ativa;
KNRI11;132,43;6,09;0,84;4.252.413,98;3,65;-0,49;-3,71;3.811.917.192,28;229.978,00;Ativa;
MORC11;99,64;7,94;0,98;365.023,05;9,51;;;79.208.257,14;327,00;Ativa;
BMLC11;93,00;7,78;0,85;26.019,08;2,96;15,30;6,08;109.109.578,30;1.500,00;Passiva;
VJFD11;0,00;0,00;;;0,77;;;649.310.196,78;97,00;Ativa;
PEMA11;64,75;17,61;0,75;8.856,38;2,71;;;47.402.332,71;133,00;Ativa;
SHOP11;100,00;0,00;1,76;;7,08;;;84.219.389,81;12,00;Ativa;
BTAL11;95,00;7,30;0,92;892.290,13;12,54;;;619.008.357,28;14.718,00;Ativa;
RBLG11;88,75;7,30;0,85;5.879,71;1,54;;;66.825.500,17;104,00;Ativa;
QAMI11;99,00;9,90;1,09;81.871,83;2,30;;;73.023.182,14;945,00;Ativa;
RECX11;92,00;8,96;1,03;6.767,69;1,85;;;19.427.520,87;475,00;Ativa;
VIFI11;78,04;8,79;0,84;516.425,33;4,58;;;261.421.261,58;6.486,00;Ativa;
TJKB11;0,00;0,00;;;0,07;;;201.151.604,57;52,00;Ativa;
CARE11;2,07;2,36;0,26;93.732,65;0,34;;-37,55;284.489.229,68;9.427,00;Ativa;
VPSI11;0,00;0,00;;;0,80;-7,23;;149.608.873,58;56,00;Passiva;
MCHY11;119,99;5,43;1,17;21.593,34;1,09;;;363.602.380,70;76,00;--;
MVFI11;0,00;0,00;;;0,56;;;132.110.589,84;1,00;Ativa;
MORE11;76,10;9,97;0,83;532.960,60;1,95;;;211.406.854,86;11.528,00;Ativa;
SBCL11;0,00;0,00;;;135,13;;;33.368.196,71;2,00;Ativa;
LAVF11;0,00;0,00;;;0,01;;;62.781.707,61;8,00;Ativa;
MINT11;112,00;0,00;0,92;2.173,38;12,77;;;63.236.262,26;71,00;Ativa;
VVPR11;95,93;7,98;0,93;61.785,44;1,41;;;238.464.430,38;1.392,00;Ativa;
PQAG11;56,50;7,19;0,99;27.297,41;1,10;;;795.749.050,15;421,00;Ativa;
DLMT11;0,00;0,00;;;1,02;;;8.837.269,13;9,00;Ativa;
URPR11;120,30;17,60;1,26;3.796.621,73;60,69;;;348.675.383,32;34.459,00;Ativa;
TSER11;100,00;6,89;1,02;682.326,30;2,64;;;118.471.304,15;22,00;Ativa;
RSPD11;1.200,00;2,03;1,08;19.313,00;1,77;;;165.987.764,34;106,00;Ativa;
XPCI11;97,75;10,58;1,03;2.347.300,70;1,24;;;655.327.883,83;50.783,00;Ativa;
HGLG11;170,14;7,52;1,15;5.279.796,73;10,41;14,16;5,72;3.156.088.176,65;300.134,00;Ativa;
KNHY11;106,87;12,86;1,08;3.260.088,85;7,02;22,44;-0,33;1.420.712.754,91;10.755,00;Ativa;
HGRU11;114,80;6,97;0,97;4.378.059,40;0,76;1,83;2,53;2.185.021.309,02;151.646,00;Ativa;
HFOF11;79,00;8,24;0,91;1.421.726,90;1,10;-14,51;-6,47;1.994.343.584,43;64.906,00;Ativa;
VILG11;102,50;6,42;0,90;4.481.516,28;1,58;-5,56;;1.712.192.304,32;145.146,00;Ativa;
JBFO11;89,92;4,06;1,00;57.230,00;0,78;;;114.483.771,39;354,00;Ativa;
FPAB11;220,08;6,34;0,54;10.331,69;1,40;-13,34;-15,90;306.999.081,09;948,00;Passiva;
VTVI11;0,00;0,00;;;11,96;;;68.157.360,55;1,00;Ativa;
GSFI11;4,35;0,00;0,32;186.712,83;18,94;;;1.011.611.502,01;5.723,00;Ativa;
HRDF11;1,20;0,00;0,90;588,70;59,10;;;10.116.613,03;1.424,00;Ativa;
ALZR11;115,01;6,71;1,06;938.924,23;5,57;4,18;5,48;642.677.411,67;97.533,00;Ativa;
PORD11;93,47;11,12;0,94;648.293,55;3,00;;-1,94;370.483.839,84;14.059,00;Ativa;
KIVO11;0,00;0,00;;;39,60;;;35.672.180,13;1,00;Ativa;
ESTQ11;0,00;0,00;;;33,08;;;16.105.781,90;5,00;Ativa;
CBOP11;72,90;10,30;0,80;76.816,25;3,64;10,13;0,11;128.523.568,51;3.630,00;Passiva;
FIVN11;2,40;0,00;0,34;91.541,65;0,00;;-6,11;65.805.766,28;3.155,00;Passiva;
QIRI11;90,00;7,79;1,00;3.388,48;0,88;;;13.503.706,62;165,00;Passiva;
SDIL11;86,50;8,31;0,89;1.032.609,00;2,84;1,41;-8,72;622.933.473,38;51.477,00;Ativa;
TEPP11;73,47;6,81;0,81;160.096,10;0,20;;;384.342.485,15;7.807,00;Ativa;
PQDP11;2.200,00;5,30;0,65;147.676,43;1,09;-9,98;-10,42;812.414.024,20;4.068,00;Passiva;
FINF11;0,00;0,00;;;0,82;;;43.198.938,02;4,00;Ativa;
HGCR11;105,45;9,27;1,03;2.133.533,73;2,24;6,51;-3,92;1.268.610.704,46;59.293,00;Ativa;
HGRE11;132,50;7,76;0,80;2.407.297,90;1,28;5,90;-2,96;1.949.751.010,85;113.050,00;Ativa;
ALMI11;1.002,48;0,00;0,45;75.486,38;1,77;;-12,76;250.264.016,46;3.154,00;Passiva;
RBCO11;55,59;8,08;0,55;239.070,20;3,74;;;378.738.232,01;6.413,00;Ativa;
HUSC11;112,24;7,14;0,79;230.974,21;0,72;;-10,29;113.166.728,66;734,00;Passiva;
FEXC11;86,86;11,21;0,93;775.357,33;6,82;5,52;-5,67;571.393.942,82;17.660,00;Ativa;
RBRP11;71,23;7,29;0,85;1.563.169,30;2,40;4,70;;1.024.046.383,21;91.250,00;Ativa;
MOFF11;0,00;0,00;;;1,34;;;179.223.816,36;3,00;Ativa;
VGHF11;10,29;11,95;1,09;1.998.655,88;6,86;;;315.713.679,87;34.765,00;Ativa;
IRDM11;108,42;13,28;1,11;9.609.814,93;7,09;12,65;2,49;3.240.393.426,43;222.193,00;Ativa;
BARI11;104,91;12,33;1,03;1.235.173,98;4,68;;;471.474.468,53;31.818,00;Ativa;
JPPA11;97,50;11,92;0,93;46.617,85;1,31;;;63.119.237,69;746,00;Ativa;
DMAC11;13,00;297,52;2,61;26.524,35;105,14;;-75,37;778.257,90;2.352,00;Passiva;
BCFF11;73,61;8,35;0,93;3.347.638,98;1,25;-1,66;-5,74;1.990.777.058,59;284.472,00;Ativa;
CXRI11;68,15;8,95;0,77;25.328,10;2,91;-22,98;-59,74;138.937.265,23;2.850,00;Ativa;
EVBI11;94,49;7,57;0,94;151.702,92;14,22;;;140.392.080,47;164,00;Ativa;
RBRI11;0,00;0,00;;;7,59;;;146.669.700,88;79,00;Ativa;
QAGR11;50,80;9,37;0,85;491.124,13;1,03;;;301.164.497,72;21.572,00;Ativa;
MGFF11;64,81;10,43;0,82;954.916,70;2,95;-9,44;-11,97;713.300.572,99;50.187,00;Ativa;
GAME11;109,99;1,96;1,10;22.027,38;0,01;;;205.123.675,99;90,00;Ativa;
BCIA11;86,62;8,13;0,82;322.511,63;0,19;-19,09;-6,42;394.781.222,12;14.620,00;Ativa;
RBVO11;12,30;3,38;0,53;6.962,73;6,41;-47,34;-37,34;11.981.470,71;2.334,00;--;
AIEC11;78,40;9,08;0,77;668.509,50;5,48;;;491.127.002,75;5.566,00;Ativa;
BIME11;9,31;1,29;0,97;125.993,53;18,35;;;55.918.188,04;559,00;Ativa;
EURO11;201,00;8,02;0,64;100.298,25;1,52;8,84;8,13;119.833.855,36;2.570,00;Passiva;
NSLU11;224,97;9,30;1,03;157.977,80;1,94;4,28;-0,22;249.602.180,19;7.445,00;Passiva;
FTCE11B;2.950,01;8,19;1,08;;5,37;;;2.490.138.966,81;57,00;Ativa;
GZIT11;0,00;0,00;;;3,16;;;2.079.401.563,03;1,00;Ativa;
FLRP11;1.216,07;5,73;0,70;18.642,18;1,74;-6,43;-0,81;112.580.533,75;910,00;Passiva;
XPHT11;92,15;0,00;1,06;128.365,18;0,49;;;330.630.764,20;1.461,00;Ativa;
XPHT12;37,80;0,00;0,44;8.957,16;0,49;;;330.630.764,20;1.461,00;Ativa;
FOFT11;123,00;0,00;1,12;;5,10;-47,71;8,92;131.819.480,59;3.846,00;Ativa;
SPAF11;0,00;0,00;;;7,43;;;11.391.228,49;1,00;Ativa;
ERCR11;76.000,00;14,58;1,04;76.000,00;0,18;;;174.398.096,11;10,00;Passiva;
MGCR11;87,32;11,55;0,90;103.394,60;1,83;;;137.327.919,11;2.174,00;Ativa;
SPTW11;45,52;29,04;0,87;186.575,68;5,79;19,60;-16,86;93.875.642,24;20.459,00;Passiva;
IBFF11;61,47;9,13;0,80;77.474,75;3,07;;;50.937.396,97;4.839,00;Ativa;
TBOF11;15,56;0,00;222,29;;62,95;72,22;-43,00;697.190,44;9.172,00;Passiva;
VOTS11;84,06;7,57;0,85;1.926,50;12,34;6,47;-0,80;81.639.692,78;298,00;Ativa;
GTLG11;98,00;2,86;0,99;315.872,87;4,49;;;707.276.465,63;67,00;Ativa;
RBRY11;104,82;10,10;1,00;855.281,08;3,43;;;354.981.935,25;11.844,00;Ativa;
PABY11;9,20;0,00;;748,70;;;-25,22;-8.246.025,21;430,00;Passiva;
BICE11;1.000,00;6,94;1,11;1.506,25;10,25;;;10.012.117,86;95,00;Ativa;
BNFS11;126,91;9,85;1,29;38.415,43;5,40;8,45;0,47;68.816.692,76;3.470,00;Ativa;
BRLA11;150,00;8,54;0,94;105.915,88;0,15;;;259.860.568,90;158,00;Passiva;
PLRI11;38,00;6,84;0,88;7.622,42;5,83;-9,92;-19,19;41.384.472,49;783,00;Ativa;
VTLT11;91,80;9,02;0,89;221.229,13;2,20;-2,27;-3,13;218.154.340,14;5.952,00;Ativa;
RELG11;80,52;11,21;0,66;179.397,73;1,04;;;162.778.565,46;4.541,00;Ativa;
VTPL11;0,00;0,00;;;2,73;;;106.534.152,88;54,00;Passiva;
DOVL11B;21,39;44,45;0,02;;2,74;;;74.056.111,01;51,00;Ativa;
RCFA11;7,40;0,00;5,92;13.066,68;0,25;;;14.547.749,03;3.617,00;Passiva;
HBRH11;90,50;8,86;0,80;233.086,85;1,45;;;311.940.949,65;1.867,00;Ativa;
HSRE11;100,00;6,08;1,03;871.060,04;2,41;;;827.718.748,36;75,00;Ativa;
FCAS11;0,00;0,00;;;186,17;;;80.684.223,04;2,00;Passiva;
TSNC11;0,00;0,00;;;2,82;-3,01;;100.049.256,88;66,00;Ativa;
OURE11;85,99;12,25;0,92;186.481,63;21,68;13,18;-1,51;100.363.668,32;4.431,00;Ativa;
OUJP11;91,44;9,69;0,90;488.446,78;6,01;-3,57;-4,26;331.030.710,86;21.138,00;Ativa;
SADI11;89,90;4,84;0,89;620.484,58;3,14;;;320.438.489,55;2.755,00;Ativa;
RCRI11B;1.200,00;3,34;3,28;1.200,00;70,80;;;18.639.596,10;149,00;Ativa;
HLOG11;93,14;7,44;0,83;152.836,93;1,10;;;479.268.643,67;3.851,00;Ativa;
KISU11;8,14;9,86;0,87;889.597,95;6,22;;;412.682.158,61;53.564,00;Ativa;
HSML11;76,20;6,05;0,80;1.885.466,58;1,47;;;1.508.445.585,89;119.526,00;Ativa;
RBRL11;92,91;9,13;0,86;787.801,53;3,87;;;718.503.950,56;7.787,00;Ativa;
MGIM11;104,75;12,39;1,07;1.714,67;113,45;;;24.321.124,08;59,00;Ativa;
RBBV11;100,00;32,11;0,99;239.178,74;1,01;75,40;10,24;126.470.249,69;3.475,00;Passiva;
VERE11;233,49;11,41;0,74;;8,39;13,87;;173.610.808,01;53,00;Ativa;
HBTT11;1.055,00;0,00;;;;;;0,00;0,00;Ativa;
HMOC11;226,95;64,16;0,95;69.159,67;0,67;122,18;0,32;91.223.530,50;209,00;Passiva;
FVBI11;94,97;0,00;;;;142,93;-8,26;0,00;0,00;Passiva;
GRLV11;104,51;0,00;17,51;;2.489,44;135,25;2,45;6.407.890,29;2.604,00;Passiva;
FAED11;144,99;9,68;0,67;62.512,25;1,57;-8,61;-12,10;138.835.182,09;5.010,00;Passiva;
BRIP11;1.200,00;0,00;1,22;267.406,67;18,88;;;116.359.054,03;233,00;Ativa;
SIGR11;0,00;0,00;;;51,49;;;29.025.195,02;50,00;Ativa;
RFOF11;74,72;9,33;0,86;154.316,30;0,81;;;93.232.405,03;6.679,00;Ativa;
NVIF11B;227,50;1,17;0,90;;12,97;;;85.719.503,48;7,00;Ativa;
AFHI11;100,48;8,66;1,02;713.586,60;1,82;;;175.960.340,60;6.176,00;Ativa;
EXES11;0,00;0,00;;;4,06;;;8.778.191,14;24,00;Ativa;
HGPO11;258,99;5,22;0,97;283.806,48;4,28;;;469.812.255,83;10.163,00;Passiva;
PNDL11;0,00;0,00;;;56,65;;;24.344.618,54;46,00;Ativa;
LFTT11;107,48;7,88;1,81;127.859,00;30,95;;;423.481.720,72;382,00;Ativa;
RVBI11;79,48;11,06;0,90;344.260,48;1,93;;;127.581.764,58;11.355,00;Ativa;
RBRS11;67,63;6,68;0,72;30.082,31;9,15;;;129.844.879,35;1.190,00;Ativa;
HGBS11;167,00;4,64;0,78;1.599.988,15;0,64;-21,09;-10,63;2.143.159.688,71;80.452,00;Ativa;
KNCR11;99,90;5,17;0,99;8.357.240,85;6,87;-6,33;-1,95;3.945.642.616,58;81.405,00;Ativa;
IRIM11;113,00;4,87;1,11;29.975,88;2,35;;;132.147.323,49;341,00;Ativa;
CORM11;96,50;10,37;1,01;6.874,71;12,95;;;87.692.661,80;233,00;Ativa;
LSPA11;0,00;0,00;;;0,82;;;40.099.280,54;220,00;Ativa;
CTXT11;23,76;1,68;0,55;8.174,88;4,08;-23,80;75,98;112.402.752,34;3.723,00;Passiva;
PLOG11;74,95;8,55;0,75;56.447,40;4,02;;;74.524.074,15;2.044,00;Ativa;
PBLV11;926,98;6,76;0,59;;4,56;;;4.937.917.235,83;2,00;Ativa;
BPRP11;101,01;9,42;0,93;17.347,63;0,08;;;146.534.038,30;199,00;Passiva;
FIIB11;466,99;7,81;1,02;320.701,23;1,60;7,47;2,32;313.595.503,14;16.731,00;Passiva;
BTLG11;105,39;7,85;1,05;4.094.329,40;0,73;17,29;3,82;1.522.117.934,79;151.858,00;Ativa;
RBDS11;6,06;38,85;0,24;762,80;23,22;18,99;-71,47;3.235.360,28;1.019,00;Ativa;
FISC11;165,00;1,31;1,08;;0,18;;;251.458.437,24;66,00;Ativa;
ANCR11B;3.500,00;1,50;1,04;3.500,00;1,95;;;1.515.627.958,78;58,00;Ativa;
ELDO11B;762,38;8,58;0,57;;0,19;18,71;;1.060.674.052,69;60,00;Passiva;
BTCR11;92,09;9,54;0,94;669.975,75;3,32;5,43;;472.571.529,91;10.373,00;Ativa;
IDFI11;101,95;4,97;1,01;11.818,82;3,57;;;208.595.695,44;47,00;Ativa;
VGIR11;99,45;7,44;1,02;958.223,10;2,19;-5,89;-0,18;441.178.250,99;27.345,00;Ativa;
BRCO11;97,22;6,39;0,82;3.233.091,98;1,44;;;1.754.363.213,48;55.682,00;Ativa;
RCRB11;131,45;7,49;0,67;875.267,60;1,56;10,45;-7,78;726.184.354,90;29.827,00;Ativa;
KNSC11;99,47;12,48;1,10;3.830.382,00;4,30;;;718.051.475,99;40.824,00;Ativa;
YUFI11;0,00;0,00;;;1,22;;;37.637.102,65;10,00;Ativa;
SAIC11B;35,74;0,00;0,64;1.322,00;5,22;;-18,08;79.960.241,49;51,00;Passiva;
ORPD11;128,79;0,00;0,84;155,20;0,00;;1,00;44.218.407,47;32,00;Ativa;
HUSI11;1.050,00;0,00;1,10;1.050,00;6,40;;;106.686.954,02;79,00;Ativa;
PURB11;0,00;0,00;;;18,22;;;38.554.499,54;1,00;Ativa;
VTPA11;0,00;0,00;;;1,94;;;68.821.006,06;1,00;Ativa;
BZEL11;0,00;0,00;;;0,04;;;351.020.648,91;3,00;Ativa;
RBIR11;73,10;0,00;0,76;57.547,63;37,66;;;147.159.201,42;1.346,00;Ativa;
MCCI11;101,87;10,50;1,04;4.527.189,18;2,09;;;1.215.907.590,31;73.022,00;Ativa;
RBRM11;94.794,81;119,50;0,69;;22,17;;;74.567.551,77;54,00;Ativa;
XPML11;93,60;5,99;0,92;3.713.041,48;2,33;-8,04;-4,61;1.900.259.041,51;253.271,00;Ativa;
SARE11;72,23;9,49;0,73;1.028.938,80;10,00;;;917.117.685,29;12.478,00;Ativa;
VCJR11;98,00;11,07;1,03;1.218.851,73;2,72;;;1.108.573.860,66;7.645,00;Ativa;
KEVE11;1.080,00;0,13;1,09;17.462,86;2,54;;;146.262.901,24;383,00;Passiva;
JPPC11;230,00;40,53;0,43;1.080,00;20,78;;;29.085.690,82;86,00;Ativa;
FISD11;0,00;0,00;;;2,77;;;108.451.340,72;25,00;Ativa;
ATCR11;0,00;0,00;;;0,92;;;72.731.888,78;33,00;Ativa;
SCPF11;7,68;2,65;0,61;3.845,00;2,38;-27,57;-11,79;52.548.899,51;4.500,00;Ativa;
XPCM11;19,13;16,15;0,35;108.172,35;2,34;-29,82;-41,99;132.802.297,76;30.944,00;Passiva;
ABCP11;74,08;5,83;0,81;107.380,50;1,57;-1,44;-7,04;1.122.717.873,90;19.203,00;Passiva;
BVAR11;0,00;0,00;;;0,65;37,82;;672.671.898,35;69,00;Passiva;
ATWN11;0,00;0,00;;;0,50;;;93.192.753,69;2,00;Passiva;
ARRI11;100,58;13,62;1,08;576.419,70;3,03;;;97.957.964,82;5.436,00;Ativa;
PRSN11B;0,50;2,55;1,39;1.133,35;16,58;;;18.829.187,58;1.244,00;Ativa;
LATR11B;150,00;12,22;13,09;2.395,00;113,01;;;1.422.563,46;134,00;Ativa;
NEWU11;31,01;0,00;0,50;3.366,11;2,39;58,77;;45.918.648,78;1.724,00;Ativa;
VCRR11;77,50;6,05;0,65;49.726,15;1,19;;;239.192.558,80;1.944,00;Ativa;
RZAK11;93,50;9,64;0,99;1.157.143,00;1,35;;;283.956.920,58;7.316,00;Ativa;
FAMB11B;921,01;0,00;0,29;78.014,30;6,85;-9,82;-27,03;328.194.839,13;3.151,00;Passiva;
HSLG11;89,85;7,10;0,80;593.865,20;3,85;;;1.428.239.437,19;17.868,00;Ativa;
